billboard_ranking,song,popular_or_not,spotify_popularity,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
0,butterflies,0,50,95.94420623779297,-8.918051719665527,Ab,minor,0.6269994974136353,0.10729613900184631,G,0.0200286116451025
0,Fin.,0,52,100.491943359375,-13.181480407714844,Ab,major,0.8535410165786743,0.05436337739229202,G,0.01287553645670414
0,Too Late,0,66,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
0,Balut,0,54,68.21247863769531,-8.278877258300781,Bb,major,0.643407940864563,0.037195995450019836,D,0.01001430582255125
0,Final Breath,0,34,132.23277282714844,-7.904996871948242,Bb,major,0.8802396059036255,0.04577968642115593,Bb,0.011444921605288982
0,happy,0,47,95.78239440917969,-8.925628662109375,F,major,0.8234280347824097,0.014306151308119297,E,0.004291845485568047
0,Jesus Born on This Day,0,31,73.38434600830078,-13.551850318908691,F,minor,0.7591040134429932,0.05865522101521492,C,0.014306151308119297
0,This One's Gonna Cost Me,0,45,137.05467224121094,-6.888674736022949,C,major,0.8128587007522583,0.07439199090003967,F#,0.014306151308119297
0,Better Back When,0,52,132.53640747070312,-6.666910171508789,G,major,0.8476066589355469,0.05150214582681656,F#,0.011444921605288982
0,Wildflowers - Bonus Track,0,52,122.27713012695312,-9.005906105041504,Bb,minor,0.8221634030342102,0.028612302616238594,Bb,0.0071530756540596485
0,Changing Bars,0,43,134.9304962158203,-5.879715442657471,F,major,0.7634617686271667,0.04721030220389366,E,0.011444921605288982
0,God Plays a Gibson,0,46,100.35457611083984,-8.81464958190918,Bb,major,0.8758315443992615,0.042918454855680466,A,0.01001430582255125
0,(Got A) Heartsick Feeling,0,0,86.73225402832031,-13.058870315551758,F,major,0.7045882940292358,0.048640914261341095,Bb,0.008583690971136093
0,Fear and Friday's (Poem),0,65,98.00038146972656,-13.267049789428711,C,minor,0.7155258655548096,0.0844062939286232,A,0.017167381942272186
