billboard_ranking,song,artist,year,popular_or_not,track_id,spotify_popularity,album,album_id,audio_link,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
77,Nobody Gets Me,SZA,2023,1,5Y35SjAfXjjG0sFQ3KOxmm,86,SOS,07w0rG5TETcyihsEIZR3qG,https://p.scdn.co/mp3-preview/36cfe8fbfb78aa38ca3b222c4b9fc88cda992841?cid=6a78982078cb477d900388b0470ad9ad,107.05842590332031,-9.97478199005127,Ab,major,0.7306699156761169,0.042918454855680466,G,0.01001430582255125
78,Rich Men North Of Richmond,Oliver Anthony Music,2023,1,78Du4CMFgnhdlG33gblkiP,82,Rich Men North of Richmond,02X1cQOUcwYPxgFfqHeitI,https://p.scdn.co/mp3-preview/afacdcf7e5b3560d5dcd5596e0e4caae9b0a7fc9?cid=6a78982078cb477d900388b0470ad9ad,114.58415985107422,-16.150846481323242,A,major,0.782727837562561,0.06294706463813782,Ab,0.01001430582255125
82,Seven,Jung Kook Featuring Latto,2023,1,6ZUdN0SmTwV7orWD14Emwl,87,GOLDEN,5pSk3c3wVwnb2arb6ohCPU,https://p.scdn.co/mp3-preview/c6f315711a77fba52139f54587afa7e7d16a1232?cid=6a78982078cb477d900388b0470ad9ad,115.29525756835938,-7.870823860168457,G,minor,0.7526485919952393,0.10729613900184631,A,0.015736766159534454
83,Wait For U,Future Featuring Drake & Tems,2023,1,59nOXPmaKlBfGMDeOVGrIK,82,I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,https://p.scdn.co/mp3-preview/38e12dbcba624463f1a360afd5dcceaf281b1ea5?cid=6a78982078cb477d900388b0470ad9ad,78.38993835449219,-8.490094184875488,F,minor,0.5325325131416321,0.06723891198635101,C#,0.01001430582255125
84,Last Christmas,Wham!,2023,1,77nF1t4qesuOJRd8lbIzNX,71,LAST CHRISTMAS,6egzU9NKfora01qaNbvwfZ,https://p.scdn.co/mp3-preview/5c6b42e86dba5ec9e8346a345b3a8822b2396d3f?cid=6a78982078cb477d900388b0470ad9ad,99.54354858398438,-15.301015853881836,C,major,0.9102581143379211,0.07439199090003967,A,0.01287553645670414
86,Por Las Noches,Peso Pluma,2023,1,6YWME4xCa5Lm6X1exVMQIC,78,Por Las Noches,2Pksd4k88XH1QENsu2vqeZ,https://p.scdn.co/mp3-preview/3f01d9dcd2fb87af60739642f0e8b5c3f9fb0fc1?cid=cfe923b2d660439caf2b557b21f31221,114.0101318359375,-9.574773788452148,Ab,major,0.5188072919845581,0.06294706463813782,G,0.01287553645670414
87,Memory Lane,Old Dominion,2023,1,5f69wzvle0b9ColR7wuvEK,73,Memory Lane,3PUA3xAHTsDAp11oAb33Mv,https://p.scdn.co/mp3-preview/f080bb4fa88f65e222439820a43e50c8ed92fa72?cid=6a78982078cb477d900388b0470ad9ad,109.74351501464844,-7.440481185913086,F,major,0.803358793258667,0.0443490706384182,E,0.01287553645670414
88,Area Codes,Kaliii,2023,1,7sliFe6W30tPBPh6dvZsIH,77,Area Codes,6uk3hBYbrMsSzufADPjv9K,https://p.scdn.co/mp3-preview/d1beed2734f948ec9c33164d3aa818e04f4afd30?cid=6a78982078cb477d900388b0470ad9ad,71.40349578857422,-11.13303279876709,F,minor,0.5692108869552612,0.13447782397270203,A,0.017167381942272186
89,Bury Me In Georgia,Kane Brown,2023,1,4EKH0ajMHXTkq4ztWuztVH,63,Bury Me in Georgia,5KiNzxNpSxplw7RxB9SSEo,https://p.scdn.co/mp3-preview/1bcf9664ae7b1fd6455442d709279972bd4c5806?cid=6a78982078cb477d900388b0470ad9ad,73.77096557617188,-8.080531120300293,F#,minor,0.41641664505004883,0.07725322246551514,F,0.015736766159534454
90,PRC,Peso Pluma X Natanael Cano,2023,1,2mpoNBkngUEwnaKoBhZ0vl,78,PRC,2OXBosbXT7Qs3J6vBd6IkI,https://p.scdn.co/mp3-preview/04ebbfd99947c52464a0c31b25ccc02fcef69ae0?cid=6a78982078cb477d900388b0470ad9ad,126.95682525634766,-8.301328659057617,C#,major,0.4907616972923279,0.07010014355182648,C#,0.01287553645670414
93,Wild As Her,Corey Kent,2023,1,4RG7P0CXQ4pe0OeCAHjX5L,73,Blacktop,6nIkyQ0HO6MDucznnn8DXi,https://p.scdn.co/mp3-preview/9db2d78adf0f9602fd2ffe580b79ae6aa3ff8ad5?cid=6a78982078cb477d900388b0470ad9ad,136.63551330566406,-7.656386375427246,F#,major,0.8708835244178772,0.06437768042087555,Bb,0.01287553645670414
94,Peaches & Eggplants,Young Nudy Featuring 21 Savage,2023,1,1ObHcON82RovghoAuS7DRq,70,Gumbo,1UbeEAPS49eulB659XSU9g,https://p.scdn.co/mp3-preview/c8c99ebe8a3e76ec03247eed3e9eea7de6ba8f33?cid=6a78982078cb477d900388b0470ad9ad,134.9743194580078,-8.984957695007324,F,minor,0.852274477481842,0.07868383079767227,E,0.0071530756540596485
96,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,2023,1,4nrPB8O7Y7wsOCJdgXkthe,64,Las Mujeres Ya No Lloran,3fonA82Hl7huJiQCwKkzGA,https://p.scdn.co/mp3-preview/3ba573cb752298abe9b6f538177ea80863ac4b72?cid=6a78982078cb477d900388b0470ad9ad,116.3161849975586,-9.03990364074707,C#,minor,0.5517494678497314,0.0443490706384182,C,0.01001430582255125
97,Meltdown,Travis Scott Featuring Drake,2023,1,0O9WkgPDfZ7A9DMDocF6ur,83,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,https://p.scdn.co/mp3-preview/7c7e0e4419d101bcf73764f245639d7bc83b662a?cid=6a78982078cb477d900388b0470ad9ad,103.43058013916016,-8.529043197631836,C,minor,0.5774770379066467,0.05865522101521492,C,0.011444921605288982
98,Put It On Da Floor Again,Latto Featuring Cardi B,2023,1,6c6WmIHcHlhccEwSFBhzNa,69,Put It On Da Floor Again (feat. Cardi B),4A43tzEN3jILvseI1HeXGG,https://p.scdn.co/mp3-preview/3cd934af8742a4c035cbeb9586947ea0bd229842?cid=6a78982078cb477d900388b0470ad9ad,102.67111206054688,-9.137866973876953,C,major,0.8726576566696167,0.12160228937864304,E,0.011444921605288982
100,Watermelon Moonshine,Lainey Wilson,2023,1,3sYBFUXTv0STUoUINx9Qe8,77,Bell Bottom Country,06q6BDUpP6OS8Xnx3YC2M0,https://p.scdn.co/mp3-preview/616455e085625d5662da9242fef54eb52a3044f1?cid=6a78982078cb477d900388b0470ad9ad,129.44554138183594,-8.321820259094238,C,major,0.8297309279441833,0.035765379667282104,B,0.01287553645670414
