billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
59,Envy Me,Calboy,2019,1,6gH6TAkytLzyXYiTbJQL0O,Wildboy,66,https://p.scdn.co/mp3-preview/a2be01a82601edca9d83040cf0749dc82defa70f?cid=6a78982078cb477d900388b0470ad9ad
60,You Say,Lauren Daigle,2019,1,6pmoTLfsPpn0wisT3YFJSN,Look Up Child,76,https://p.scdn.co/mp3-preview/a23e460aac33414336dc273cf3f246bec41aa499?cid=6a78982078cb477d900388b0470ad9ad
61,"Hey Look Ma, I Made It",Panic! At The Disco,2019,1,6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked,68,https://p.scdn.co/mp3-preview/391b9af551cee3ebd0d6c6ce355a3095d2193df2?cid=6a78982078cb477d900388b0470ad9ad
62,Circles,Post Malone,2019,1,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,87,
63,Beer Never Broke My Heart,Luke Combs,2019,1,0S9D5NIDp2YXhYwlvuJzqx,What You See Is What You Get,81,https://p.scdn.co/mp3-preview/545db391946df7d9cd3a7ac7fbc79b128e4b2ee5?cid=6a78982078cb477d900388b0470ad9ad
64,The London,"Young Thug, J. Cole & Travis Scott",2019,1,1bnHPO4dKK7IjvgrtVBcQh,So Much Fun,67,https://p.scdn.co/mp3-preview/6a2dd9049a646e3336c09bbd01fbc8665d9f5ca3?cid=6a78982078cb477d900388b0470ad9ad
65,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019,1,1otwHKoQ5KPaiekpYk4tWh,Con Calma,80,
66,Murder On My Mind,YNW Melly,2019,1,7naY6j4wcgUxfHB98G79CW,I AM YOU,79,https://p.scdn.co/mp3-preview/c177cf9cc65ab2364123707e1784ca72d8e7b39e?cid=6a78982078cb477d900388b0470ad9ad
67,When The Party's Over,Billie Eilish,2019,1,1U1r8TvqrZjvgRuN18afwy,Trend and Viral Vol 9,4,https://p.scdn.co/mp3-preview/3aebba7fb68bdd6f14ebbc4ecc8f89c55bf4f955?cid=6a78982078cb477d900388b0470ad9ad
68,Act Up,City Girls,2019,1,6zzs0HMzEPRotJaEJe8uwJ,Girl Code,66,
69,I Like It,"Cardi B, Bad Bunny & J Balvin",2019,1,4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,78,https://p.scdn.co/mp3-preview/0fe3542d88da43dd131627df756ac1ce318713fd?cid=6a78982078cb477d900388b0470ad9ad
70,Trampoline,SHAED,2019,1,5wg6T8bCVnRk3ToKy0yXG5,Melt (Deluxe),69,
71,Leave Me Alone,Flipp Dinero,2019,1,3zMEkZNzS5yJDcnqPhIk10,LOVE FOR GUALA,71,https://p.scdn.co/mp3-preview/a87f5eb0c5abca7b0575aeb3cd356b5564e3239c?cid=6a78982078cb477d900388b0470ad9ad
72,Breathin,Ariana Grande,2019,1,3tx8gQqWbGwqIGZHqDNrGe,Sweetener,71,
73,Bury A Friend,Billie Eilish,2019,1,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",76,
74,Close Friends,Lil Baby,2019,1,2yXnY2NiaZk9QiJJittS81,Drip Harder,73,
